idx,conversation,class
195,"당구 칠 줄 알아?
나 예전에 친구들이랑 다니긴 했어 키키
그것도 종류가 여러가지던데?
맞아
난 사구 많이 쳤어 키키
사구가 포켓볼이랑 다른 거지?
응 포켓볼이랑은 달라 키키
너는 포켓볼 치는 거야?
예전에 몇 번 쳤는데 기억도 안나 키키
나도 안 친 지 꽤 됐어 키키 지금 하면 못 할 듯
맞히면 재밌긴 하던데 키키 잘 못해서 안 다닌 거 같아
근데 처음엔 다 그렇지 하나 보면 늘고 하는 거야~
키키 흥미 없으면 늘지도 않더라
맞아
또 돈도 들어가니까 하하 맞는 거 찾아서 하면 되지 키키
키키 그래서 볼링을 자주 치러 갔어
아 너는 볼링 좋아하는구나?
웅 키키 재밌더라고 키키 주말마다 자주 치러가
키키 다음에 나랑도 한번 같이 가자",일상 대화
196,"얌 스위스가 동성결혼이 통과됐대
동성결혼 가능한 국가가 있다고?
엉 벌써 30번째라는데
30번쨰 국가라고?
넌 어떻게 생각해?
와 몰랐는데... 동성결혼...문제 많지
엉 난 근데 노상관...
그래 내일 아니면 상관없는데...
자유니까 뭐 어쩔 수 있냐 나라가 키키
사실 안을 들어야 보면 성병이나 이런 문제가 있찌...
지들이 사랑한다는데 어쩌겠어
어후 근데 뭐 건강하게 사랑하면 상관없지
하지 말라고 해도 안되는 거드만
이상한 거만 안 퍼트리면 상관없음
그니까 근데 그걸 또 합법화 하기엔 좀...
내 돈 드는 거 아니고...",일상 대화
197,"오빠야 음료수 뭐 좋아해 키키
나는 아메리카노? 이것도 음료수인가 키키
옹 그것도 음료수지 키키 난 콜라 밀키스 키키
키키 오 콜라 밀키스도 맛있지 키키 제로는 별로고
저번에 아빠가 모르고 제로 사와서 진짜 으엑 키키
윽 진짜 별로임... 특히 코카콜라 제로는
맞아요 ㅜㅜ 왜 그렇게 맛이 없는지
키키 진짜 근데 칠성사이다 제로는 먹을 만하더라
오 그건 한 번도 안 먹어 봤는데 키키
난 좀 콜라 텁텁한 게 싫은데 제로가 키키 사이다는 그게 좀 덜해
오홀 키키 근데 난 사이다는 별로 키키
오 그게 문제네 키키
옹 키키 콜라가 짱짱짱 짱이지
그것도 맞다 키키 진짜 그것도 코카코랄
맞아 펩시도 별로 ㅜㅜ
근데 제로는 펩시가 낫다는 말을 들음",일상 대화
198,"내가 연예인이었더라면 돈도 많이 벌고 너한테 기부하는 마음으로 줬을 텐데 아쉽게도 외모만 연예인이네
글쎄 그 말 마지막이 좀 이상한 거 같은데?
뭐가 난 잘 모르겠는데?
이해력이 좀 딸리나 봐 내가
하긴 요즘은 개성 있는 얼굴이 또 먹히니까 너도 가능하겠어
무슨 말이야 ㅠㅠ
요즘은 개그맨 모델 배우 가수 전부 다 이뻐야 하던데
에이 무슨 소리야 누가 그래 이뻐야지 연예인 한다고
그거 다 옛말이지 요즘엔 개성이지
아니라니까? 요즘이 진짜 미쳤어
다들 이쁜 사람만 있던데?
아냐 제대로 잘 봐바
연예인들이 어떻게 다 이쁠 수가 있어
아니라고... 요즘 같은 외모만 보는 연예계 세상에 내가 딱인데...
너는 개그우먼 하면 딱일 거 같아
아마 개그계 원톱은 찍을 듯
개성으로 밀고 가면 너 바로 성공한다
내가 좀 사람들에게 행복을 주고 그런 편이긴 하지?
얼굴 망가뜨려가면서 웃음 주는 거 쉬운 일 아니지 존경한다 친구야
너 잠꼬대하는 거야?
나는 너가 무슨 말하는지 도무지가 모르겠어
난 내 친구한테 난독증이 있다는 소리는 못 들은 거 같은데... 흠...
우리 서로 행복만 주고 받자...
이런 말도 안 되는 말 나는 웃기지도 않으니까 말이야
키키 우리 행복 전도사 너가 있어서 난 참 행복해 ^^",일상 대화
199,"내 사촌언니 저번에 임용고시 봤는데 떨어졌대 ㅠㅠ
헐 어쩌냐...
상심이 크시겠다...
어 ㅠㅠ 이번에 시험이 어렵게 나왔다더라
내 동생도 임용 준비하다가 그냥 사립학교 계약직 하더라고
아 진짜?
너 동생 대단하다...
교원대 다녔다고 했나?
맞아 키키
임용 준비하다가 힘들다고 일단 계약직으로 들어감
그래도 교원대 나왔으니깐 계약직도 할 수 있었나보다
그런듯
근데 힘든가봄
지금도 임용 준비하더라고
그러니깐
선생님 되기 진짜 힘든 것 같음
그래도 자기가 하고 싶다고 하니깐 뭐
사촌언니도 엄청 힘들게 공부 했는데... 내가 더 마음이 안 좋다
그러겠네...
그래도 힘내시라고 해...
그래
고맙다...
너네 동생도 힘내라고 전해줘
내 동생은 알아서 잘 할 거야 키키
그래도 오빠니깐 힘 좀 내라고 응원해라!
알겠어 키키
내 응원이 힘이 된다면야 키키",일상 대화
200,"니는 중고거래 해본 적 있나? 키키
넵 하하 가끔씩 당근 거래하죠 하하
오! 키키 니도 당근 해 봤구나?
키키 당근 좋은 것 같애 키키
맞아요 하하
필요 없는 거 버리는 것보다 중고로라도 파는 게 낫죠 하하
맞다 키키
누군가는 필요하니까 키키 가격 저렴하게 팔면 좋잖아! 키키
맞아요 하하
누나도 당근 자주 해요?
응 키키 나도 가끔 당근한다 키키
번장도 있더라구요 번장은 한번도 안 해봤어요 하하
특히 그 미개봉 새상품은 정말 좋더라고! 키키
오 미공개 새상품 완전 꿀이네요 하하
가격은 훨씬 저렴한대 새상품이라서 키키 중고 안 같애 키키
키키  그런 거래 상품 올라오면 좋죠 하하
그니까 키키
근데 번장은 뭐야? 키키
번개장터라고 당근이랑 똑같이 중고거래 하는 플랫폼이에요
아... 번개장터! 키키 들어본 것 같다 키키
오 추천 고마워!
키키 번장이 당근보다 먼저 생겼을걸요?",일상 대화
201,"강아지나 고양이 키우고 싶은 생각은 있어? 키키
좋아하기는 한데 키울 정도는 아닌 거 같아요
키키 오 혼자 살아도? 키키
요새 많이 키우더라고
불가능 할 거 같아요 하하 신경 쓸게 많아서
키키 그것도 그래 키키
진짜 강아지 키우면 맨날 산책 가야 하고
누나는 강아지 키울 생각 있어요?
아니 키키
난 강아지 보다는 고양이 좋아해
아 그럼 고양이 키워 본 적 있어요?
옹 키키 그런데 나 고양이 알러지 있더라고
아 고양이 알러지 있어요?
저런...
엉 몰랐지 뭐야 키키
성묘한테는 없는데 새끼한테 있더라?
그럴 수도 있어요?
신기하네요
몰라 키키
진짜 성묘는 괜찮았거든? 키키
뭔지 모르겠어
안타깝네요
고양이를 좋아하는데 알러지라니
옹 키키 난 강아지처럼 막 달려 드는 건 별로 안 좋아해 키키
강아지들이 애교가 많죠 하하",일상 대화
202,"오호 오징어 게임 감독 인터뷰 있길래 읽어봄
드라마도 안 봤으면서 감독 인터뷰부터 키키
볼 수 있지 키키 흐음 키키
인터뷰에서 뭐라는데 키키 내용 궁금
몰라 키키 니가 찾아서 읽어봐 링크 보내줄까?
아니 키키 안 보내줘도 됨 굳이 키키
난 안 볼 거 같다 키키 보기 귀찮아 키키
저 귀차니즘 진짜 키키 재밌는데
영화 새로운 거 나오는 건 없나
몰라 키키 코로나 때문에 개봉 잘 안 하는 듯
한국 드라마 반응 좋은데 한국 영화 나오면 영화도 반응 좋을랑가
그럴 수도 있지 키키 기생충처럼
난 기생충도 안 봤는데 키키
기생충은 나도 안 봄 키키
키키 재밌는 거 좀 나왔으면 좋겠다
곧 나오겠지 뭐 키키 기다려봐",일상 대화
203,"키키 아 웃겨 키키
아 인터넷으로 뭐 시킬 거 거 없나
난 오늘 물이랑 과자 시켰어
아 나도 물 사야 하는데
물은 몽베스트가 제일 맛있어
난 무조건 쿠팡 탐사수야
계절 바뀌는데 옷은 안 사?
옷 사야지
근데 돈이 없어
지금 돈 벌고 있잖아 키키
키키 이건 노트북 사야 해서 안돼
진짜?
노트북 어디꺼 살거야?
아직 고민 중이야
노트북이랑 태블릿도
집에 컴퓨터 있으면 태블릿도 나쁘진 않지
긋치...
근데 주변에서 다들 노트북 사라 해서
차라리 노트북보단 그냥 데스크톱을 사
나 데스크톱 시장에서 제일 좋은 거 방금 나온 거 이런 거 다 모아서 맞춤 키키
조립했어
그렇게 사는 게 제일 싸지",일상 대화
204,"군생활은 진짜 어떻게 하는 거야? 키키
그냥 뭐... 눈 딱 감고 하다 보면 지나있다
키키 정말 경험 안 해봤지만 경험하기 싫오
키키 그래 평생 안 하면 좋지
키키 정말 평생 하지 않을 테야 키키
키키 근데 진짜 요새는 사건 사고가 잘 나오는 것 같다
그러니까 아까도 뉴스 보니까 뭐 쉬쉬했던데
예전보다는 사건이 잘 알려져서 다행이면서도 참 그렇다...
맞아 ㅜㅜ 오빠야 때는 막 이런 거 없었낭?
있었지 근데 나는 없었고 우리도 탈영하는 놈 있었고 뭐...
헐 대박! 탈영하는 사람도 있구나!
응응 약간 관심병사도 있고 뭐 그랬지
와우 진짜 다 있기는 있네 허헐
그렇지 키키 약간 게이인 친구도 있었고
으악... 키키 진짜 사회의 축소판이다
키키 맞다 키키 진짜 작은 사회지 뭐",일상 대화
205,"키키 아 다이어트 하고 싶다 ㅠ
아 진짜? 진짜로 하고싶어? 진짜?
어 하고는 싶은데 음... 어렵네...
그니까 이게 어려운 거 같아
마음은 먹은지 대충 15년 정도 된 것 같아
그니까, 우리 누나도 한 번 빼고 요요와서 유지 중이더라
키키 아 진짜 ? 누나 지금도 날씬하던디
엥 누나 뱃살 미쳤잖아 맨날 가족들한테 보여줌
아 진짜? 꼴뵈기 싫어 상상도 하기 싫어 말하지마
내가 맨날 운동 유튜버 보여줘도 절대 안해
키키 야 그런 거 따라하기가 얼마나 힘든건데
그니까 다들 의지가 강하지 않아
난 정말 강하지 않아 내가 알아
자기 이해가 좋구나 누나
웅 이런거라도 잘 해야지
그래 멋져 누나 힘내",일상 대화
206,"점심 많이 먹었는지 아직 배가 안 고프네
기름기 많은 걸 먹어서 그런 듯
그런가 지금 안 먹으면 있다 야식 먹을 거 같은데
그럼 야식 먹으면 되지
야식 먹으면 속 안 좋져서 왠만 하면 야식은...
나는 학원 갔다 오면 늦어서 야식 자주 먹는데
키키 야식이 매콤한 게 많아서 먹을 수 있는 종류가 다양해서 좋긴 해 키키
맛있지 키키 늦게 먹으면 안 좋기는 하지만
그렇지 키키 건강에 안 좋지 키키 엊그제도 체함
어허... 누나 진짜 자주 체하는 듯
너무 자주 체해서 피곤하다 키키
체하면 바로 소화제 챙겨 먹어
키키 집에 소화제 2박스 사 놓음
2박스나? 과한데? 키키
한 박스 샀는데 효과 없어서 다른 걸로 새로 샀지 키키
아하 키키 기존에 있던 한 박스는 그럼 우짬",일상 대화
207,"** 방지법이 생겼네요 키키
오잉 그게 뭐야? ** 방지?
**이 무면허로 음주 운전한 거 봤어요?
아아 그 사람 키키 그 티비 나온 사람이잖아
네 키키 그래서 음주 측정 거부 시 형량 강화하는 법안을 저 이름으로 키키
오 키키 아니 근데 음주 측정 거부하는 사람이 있다니 신기해
아빠 빽 믿고 그러는 거겠죠 키키
어휴... 진짜 그런 인간들 다 콩밥 먹여야 해
그러니까요 의원직도 사퇴하라고 다들 난리네요 키키
왜 사퇴 안 해?
진짜 어이가 없어 ㅡㅡ
키키 캠프만 나갔대요
저러다가 또 조용해지면 돌아오겠죠?
하... 당연히 돌아오겠지
진짜 그런 사람들 평생 하면 안 돼
그러니까요 진짜 뿌리를 잘라야 하는데
그니깐 진짜 뿌리를 뽑아야는데
자식 잘못 키운 것도 벌 받아야죠
응응 맞아 그것도 그냥 잘못이 아니잖아",일상 대화
208,"음 몰라 왜냐면 난 결혼하면 고양이 키워야 하는데 남친이 안 키운다 함
키키 그게 고작 이유야?
엄청난 이유네 결혼 하지 마라 키키
고양이는 꼭 키워야 해 진심이야
고양이 좋지 난 강아지가 더 좋음
아닌데
난 고양이가 더 좋은데?
정말?
고양이가 더 귀엽나?
다 귀엽지 뭐
ㄴㄴ 고양이가 훨씬 귀여워 같은 거 아님
고양이는 외로움 하나도 안타잖아 키키
키키 그래서 고양이가 좋아 나는
혼자 냅둬도 괜찮잖아 고양이는 키키
그래서 고양이가 좋다고 나는;
아 알겠다고; 키키
나중에 산책 같이 시키자 내 강아지
아 싫다고 난 고양이가 좋은데 왜 시켜 내가
그냥 해본 말이야 아 키키
그럼 고양이 해먹 좀 사주라
키키 내가 왜 니 고양이를?...
싫은데?",일상 대화
209,"형은 기억나는 선생님 계시나?
어 키키 영어 선생님 키키 하도 혼나서 기억난다
키키 맨날 혼나다 보면 선생님이랑 친해지지 않나?
키키 선생님이랑 안 친해지던데 키키 피하게 되더라 혼날 거 같아서
키키 영어 못해서 혼난 거가?
그런 것도 있고 친구랑 떠든다고 키키
키키 그만큼 혼나면서 계속 떠든 거가... 그럼
어 키키 영어 진짜 싫어했다 ㅠㅠ
키키 나도 싫어했는데 지금은 그때 더 공부할 껄 하고 후회되더라
나도 ㅠㅠ 그때는 왜 노는 게 좋았는지
키키 그러니까 지금은 영어 공부를 해도 머리에 안 들어온다
어 키키 지금은 뇌가 멈춘 거 같다
키키 요새 애들은 초등학교 들어가기도 전에 하던데
어 ㅠㅠ 유치원 때 기본적으로 다 배운다더라
맞다 한글이랑 영어 같이 가르친다 그러대...
어 ㅠㅜ 우리 때는 초등학교 때 배웠는데",일상 대화
210,"햄스터 키워 본 적 있어 ?
어릴 때 한 번 키웠었어!
오 키키 어떤 종류 키웠었는데?
엇 글쎄...? 배가 흰색이고 갈색 줄무늬였어
음 키키 뭐지?
어릴 때는 정글리안 많이 키우지 않나?
오! 이거 맞는 거 같아~
딱 이렇게 생겼어
키키 근데 색이 약간 검은 계열이야
아하 ~ 키키 집에서 키우니까 냄새가 좀 났었어
맞다 키키 햄스터는 키우면 냄새 나
똥 엄청 싸고
키키 그땐 청소하는 것도 몰라서 그대로 방치했었어 ㅜ 키키
청소를 안 해 줬었나 그럼? 키키
으응 키키 냄새 엄청 심했어 키키
키키 청소 안 해 줘서 오래 못 살았겠는데?
아... 그게... 냄새 심해서 마당에서 키웠었거든 키키
아 햄스터 집 채로 마당에 키웠어?
응 키키 강하게 키웠어 키키",일상 대화
211,"디저트류 좋아 하는 편?
나 완전 폴인럽… 디저트를 더 마니 머거
난 마카롱 좋아행 하하
나는 빵 이랑 떡 ㅠㅠ
아 디저트 넘 이쁘고 넘 맛있
마자 ㅠㅠ 나는 약간 할미 디저트 조아해
빵 좋아하는 애들은 떡을 좋아행
구황작물 맛 나는 거 키키
최애 떡 모야 키키
나는 찹쌀로 만든 떡 ㅜㅠ
그거 먹어 봐랏 감자빵 키키
쫀득한 식감 진짜 최고
그렇게 디테일하게 떡을 좋아한다고 키키
이미 먹었 ㅈ ㅠ, 너무 마시써,
찹쌀떡이 뭐야...? 전문가네 키키
어릴 때 할아버지가 떡순이라 해쎀 키키",일상 대화
212,"나 오늘 코난 극장판 보러 가!
오 좋겠다 ㅠㅠ 코난 극장판 나왔어?
응 오늘 나왔길래 나 지금 바로 보러 가지~ 키키
키키 코난 진짜 어릴 때 좋아했는데 아직도 애기야?
응 아직도 완전 초등학생 그 자체지!
그래도 이제 중학생은 되어 있어야 되는 거 아니야? 키키
10년이 넘어도 아직 초등학생이잖아 키키 아직도 의문이야
키키 그래도 아직까지 인기 있다는 게 대단한 거지 뭐
맞아 그래서 나 바로 보러 가는 거잖아~ 키키 후기 알려줘?
키키 웅 후기 알려줘 언제쯤 클 예정인지도 보고 와라 키키
알았어 키키 코난 말고도 다른 애니메이션 극장판 있었던 거 같은데!
나는 애니는 원피스 좋아했는데 키키
원피스? 키키 그거 난 안 봤는데...
거짓말... 그렇게 오래했는데 안볼 수가 있는 거야? ㅠㅠ
장난이지 당연히! 키키 원피스도 너무 재밌었어
키키 놀랬잖아 하하 다음에 극장판 나오면 같이 보러 가자!",일상 대화
213,"나 이번에 쿠팡에서 정기배송 시켰어!
오 어떤 거 정기배송한 거야?
두유 정기배송 이번 달부터 시작 키키
오 두유 검은콩 말고 일반?
나 다이어트 중이라 당연히 검은콩!
오 역시 키키 근데 검은콩이 더 맛있어
그치? 쿠팡에서 요즘 정기배송이 인기래 하하
아 시골도 되려나
나도 한번 쿠팡 깔아봐야겠네 키키
시골도 로켓배송은 안 되지만 가능할걸?!
웅 다른 거 안 상하는 물품이면 한번 해봐야겠네 키키
좋아 키키 아마 배달 가능 지역이라고 뜰 거야
아아 배달 가능 지역 이렇게 뜨면 온다는 소리지?
응 키키 그러면 아마 정기배송 가능한 걸로 알아
웅 나도 슬슬 쇼핑 준비 좀 해야겠네 키키
그래 키키 오랜만에 쿠팡에서 쓸어 담아버려
웅 너도 좋은 거 발견하면 공유 좀 해줘~",일상 대화
214,"너는 해외 직구 같은 거 많이 하는 편이야?
아니요 키키 해외직구는 안 해봤어요
아 영양제나 향수 이런 거는 해외가 진짜 저렴한 편인데
아 진짜요? 저는 근데 영양제도 안 먹고 향수도 그닥 관심이 없어서 하하
키키 음... 그렇구만 ㅜㅜ
난 룸메 향수 사줘야 해서 키키
오? 키키 **이 누나요? 키키
어떤 향수 써요?
무슨 캐롤리나 뭐시기였는데 나도 작년에 사서 기억이 안 나네
키키 아니 근데 왜 누나가 사주는 거에요?
음... 내 룸메는 할 줄 모르기 때문에? 키키
아... **이 누나 생각보다 손이 많이 가네요?
키키 응... 서로 돕고 도우며 살고 있어 키키 윈윈 관계
키키 누나는 어떤 도움을 받고 있어요?
나는 걔가 밥 차려 주니까... 키키 그리고 나 무서움이 많아서...
아... 키키 잘 맞아서 다행이에요!
새벽에도 화장실 갈 때 내가 걔 깨운단 말야 키키
우와... 키키 **이 누나 화 안내요?",일상 대화
215,"나 머리카락 잘랐는데 키키 티 나더나?
아? 자른 거야? 염색은 한 거 같은데?
여자들 머리는... 도통 감이 안 와 키키
아... 염색은 아직 안 했는데... 하하
아아... 색이 진한 거 같아서 그렇게 보여 키키
아... 하하 여튼 염색은 안 했고 컷트는 내가 직접 셀프 미용한 거야! 키키
아아~ 우와~ 셀프 미용?
서울은 미용실 가격도 만만치 않지? ㅜㅜ
키키 응 미용실 가격도 가격이고... 미용실에서도 막 마스크 끼고 컷트하고 염색하고 그런다더라고?
응응 저저번주 파마 하는데도 마스크 끼고 다~했어 키키
아... 그랬구만? 여튼 난 머리카락이 워낙 기니까 키키
유튜브에 셀프 미용 있길래 한번 시도 해봤어 키키
아하~ 만족해? 잘 자른 거 같아?
코로나라서 만족했다면 다음번에도 하면 되겠다!
막 셀프 미용 영상 보면 한 번쯤 해보고 싶었는데 키키 망하면 미용실 가지 싶어서 한번 잘라봤어 키키
키키 미용실 가지 않은 거 보니 망하지는 않은 거군 키키
웅 키키 나름 만족스러워 키키
근데 염색은 집에서 하면 망할 것 같아서... 키키 고민 중이다 ㅜㅜ
아아~ 염색은 망할 게 있나?
오히려 염색이 더 쉬울 거 같은데?
그런가? ㅜ 밝은 색으로 하고 싶은데... 잘못하면 얼룩덜룩 해지잖아 ㅜㅜ
아아~ 밝은색? 그럼... 잘~해야 될 거 같은데? 미용실에 가~ 하하",일상 대화
216,"구교환 맞나? 키키 요즘 핫한 배우 키키
구교환? 아 진짜 키키 첨 들어봄
여자친구도 있던데 여자친구는 감독이래 키키
누군지 검색 해봐야겠다 키키 어디 나왔어?
그 넷플릭스에 dp 드라마에 나오는 배우야 키키
아 키키 DP 키키 나 넥플을 안 봐서 잘 모르겠다
키키 dp 지금 겁나 핫하던데 키키 나도 넷플 안 봐서 본 적은 없음 키키
넷플릭스 사람들 엄청 많이 보더라 키키
요즘 인터넷에서 많이 언급되더라고 키키
나는 넷플릭스 저번에 했더니 볼 거 없던데
영화 모가디슈에서도 나왔거든 키키
아 그렇네 반도에도 나왔었네
키키 오호 반도도 나왔구나 키키
어 늑대 소년에도 나왔었네? 근데 다 안 봄 키키
? 늑대 소년은 나도 봤었는데 키키
활동한 지 오래된 배우인데 요즘 뜨나 보네",일상 대화
217,"원하는 남편상이 어떻게 되십니까?
나는 완전 다정하고 가정적인 사람 키키
키키  그게 최고지 키키 그리고 그게 base이고 키키
너는 어떤 사람이었으면 좋겠음? 키키
키키 나 내가 요리를 못해서 대신 요리 해줬으면 좋겠어 키키
남편은 적어도 집안일은 다 할 줄 알았으면 좋겠다 키키
요리도 못하고 먹는 거에도 뜻이 없어서 요리 하면서 음식 냄새 맡는 거 안 좋아함 키키
요리 잘 하는 남편 완전 좋지 키키
키키 집안일도 요즘은 base지 키키
내가 먹고 싶은 거 말하면 짠하고 해줬으면 좋겠다 키키
키키 진짜 백종원 그렇게 해주던데 키키
그런 의미에서 백종원 완전 베스트 남편이네 키키
완전 키키 나이 차가 너무 심하다는 것만 아니면 키키
소유진은 좋겠다 맨날 맛있는 음식 먹고 키키
그러니까 키키 소유진 지인들한테도 잘하는 거 같던데 키키
나이 차이는 좀... 그렇다 키키",일상 대화
218,"직장 생활은 어떤 것 같아?
대표님이랑 직원분들 다들 잘해 주셔서 좋아~
오 다들 괜찮은 사람들만 만났네 하하
응 키키 다들 나이가 좀 있으신데 나 혼자 어리거든 키키
키키 막내니까 잘해 줄 수밖에 없겠다
응응 키키 직원도 10명 안 되는데 분위기도 좋고~
맘에 들어 하하
키키 출퇴근 시간은 어떻게 돼?
10시에 출근해서 18시 칼퇴!
올 키키 완전 좋네 10시 출근이 꿈의 직장 아닌가?
그치 키키 좀 외진 곳에 있어서 흠이지만 ㅜ 키키
조만간 자취하려구
회사 가까운 곳으로 가려고?
지금은 출근 몇 분 걸려?
집도 좀 외지고 해서 ㅜ 키키 버스 2번 갈아타...
1시간 반 정도?
아... 그럼 출근이 10시여도...  아침 일찍 일어나야겠네 ㅠㅠ
맞아 ㅜ 키키 정직원 되면 대표님이 집도 구해 봐 주겠다 하셨어...!
오 괜찮네! 정직원은 언제쯤 되는 거야?
3달하고 시켜 준다 하셨긴 했어 키키
근데 집을... 근처로 구해 주시면 키키 언제든지 부려 먹겠다는 거 아니냐궄 키키",일상 대화
219,"요즘에 제이와이피 주식 살까 말까 고민 중인데 어떤지 알아?
키키 엔터주는 외국인들 돈 놀이라더니 그걸 왜 물어봐
그래도 분위기는 봐야지 키키 세계로 뻗어나가는 케이팝~
트와이스가 여름 앨범 대박 쳤지 않나? 나도 한참 좋아했었어.
원래 제이와이피는 여돌 장인이라고 유명하잖아 키키 남돌은 어때?
스트레이키즈는 갑자기 엄청 몸집 불리는 것 같긴 하더라
헐 얘네 인기 많아? 진짜 의외 나도 늙었나 봐... 누군지도 잘 모르겠어
키키 나도 얘네 볼 때마다 신인 같은 느낌... 키키 그런데 최근에 내 주변에서 난리야
뭔 일을 했길래 그렇게 반응이 좋대?
최근에 낸 노래에 한국적인 소재를 섞었다나 봐
와 그거 잘 만들기 어려운데 지금까지 여러 아이돌이 시도했지만 괜찮았던 기억이 없네
키키 제이와이피에서 많이 연구한 건지 아이돌의 젊은 감성인지 모르겠지만 어쨌든 잘나가
검색해봐도... 멤버들 다 초면이다 키키 누가 인기 많아? 나도 관심이 가네
내 친구들 사이에서는 펠릭스 얘가 인기 최고야 비주얼이 특출 나긴 하더라 스타일링이 독특해서 그런가?
너 왜 이렇게 잘 아는 거야 혹시 니 얘기를 친구인 척 얘기하는 거 아니지
아 키키 아니야 얘기를 많이 들어서 그래 한 달 사이에 내 주변만 열 명 정도 불었어",일상 대화
220,"예체능 좋아해? 키키
체육 미술 음악 이런 거
아 나는 체육 좋아했어 키키
학교 다닐 때 체육 시간 좋아했겠네?
맞아 키키
앉아 있는 것보단 체육시간이 재밌었지 키키
키키 거긴 체육 시간에 주로 뭐했었어?
나는 축구하는 시간이 가장 재미있었어!
축구 좋아해? 키키
뭔가 공격수였을 거 같아
아냐 나는 수비였어 키키
체력이 그렇게 좋진 않아
하긴 달리기도 한몫하니깐 키키
운동 싫어 ㅠㅠ
그래도 뭔가 이기고 하면 기분 좋아 키키
키키 난 그래서 거의 응원했어 키키
축구 보는 거 좋아하긴 했었구나? 키키
웅 키키
집에 축구 좋아하는 분이 계셔서 키키
아 혹시 동생이 축구 광팬?
동생이랑 아빠가 해외 축구 좋아하셔 키키
아 해축 그거 많이 보지 키키
그걸로 친구들이랑 내기도 한다고",일상 대화
221,"내일도 비 온다는 소식이 있어?
내일은 비 안 온다는 거 같아!
오늘까지 비 온대
아 그래? 내일은 밖에 나갈 거라 하하
날씨가 좋았으면 ㅠㅠ
비 오고 나서 추워져야 하는데 더워진대 키키
그래? 헐 진짜 지구온난화가 심한가 봐
내일은 좀 덥다고 했던 거 같아 키키
안 돼... 그러면 다시 집으로 들어갈래 ㅠㅠ
키키 더워도 싫고 비 와도 싫고 그렇지 뭐
응응 키키 근데 일 갈 때 그러는 건 더더욱 싫어
맞아... 꼭 쉬는 날에는 비오고 일하는 날 날씨 좋잖아
맞아 그래서 밖에 보면 엄청 현타 와,
키키 일할 때 날씨 좋으면 진짜 맨날 놀러 가거 싶움
맞아 조기 퇴근하고 놀러간 적도 있어 키키
키키 그럴 땐 무조건 놀러 가 줘야 해 진짜
날씨 좋은 날에 한강 놀러 가면 재밌어!
나도 한강 놀러 갔었는데 키키
텐트 치고 엽떡 먹었어",일상 대화
222,"미국에서 9층 빌딩에서 추락했는데 기적적으로 살았대
9층에서 떨어졌는데 어떻게 살아남지?
BMW 차 지붕에 떨어졌대 키키
키키 차가 푹신한 것도 아닌데 신기하네 키키
무슨 저런 사건이 있어
기적적인 사건 사고네 키키
키키 진짜 기적이지
근데 차 주인 불쌍하다
키키 당연히 다 보상해 주겠지 키키
유리 다 깨졌다는데 키키
추락한 사람은 자살 할려고 뛰어내린 거가?
왜 추락했는지는 안 나와있더라 ㅜㅠ
그래도 살아서 다행이다
엉 ㅠㅠ 살았다는 게 중요하지
엉 진짜 기적 같은 일이네 9층에서 떨어졌는데
그러니까 어마어마한 높인데...
엉 bmw가 사람을 살렸네
엉 추락 사고 당하면 거의 다 사망한다던데
엉 9층 높이면 사망 확률이 더 높지",일상 대화
223,"언니도 삼성페이 이용하나요?
응 키키 나는 원래 갤럭시였어
오 저는 엘지 쓰다가 갤럭시로 넘어 왔어요 키키
키키 아 진짜?
키키 갤럭시가 좋지
네 키키 엘쥐는 진짜 배터리가 최악 키키
엘쥐는 폰 빼고 가전제품이 좋아
맞아요 키키
그런데 엘쥐 폰 안 망했으면 전 또 살 뻔했어요
키키 왜? 어떤 매력이 있어?
뭔가 혁신적이랄까? 키키
항상 바꿀 때쯤 신기한 폰을 만들어요 키키
아 그건 맞아
뭔가 진짜 신기하긴 했어
네 그래서 안 팔리나 봐요 키키
삼성페이가 좋긴 하더라고요
키키 맞지? 잘 쓰고 있나 보네
멤버십도 같이 연동돼서 적용되고 좋더라고요 키키
오호?
난 왜 그런 건 모르지?
키키 뭐 그냥 설정되는 것 같던데요? 키키
에엥? 진짜? 키키
무슨 멤버십이랑 되는 거지",일상 대화
224,"미국은 11월 초부터 미국 입국할 때 백신 무조건 맞으라고 한다네
오... 백신 맞은 사람도요?
백신 맞은 사람은 괜찮지 키키
그럼 안 맞은 사람들 무조건 맞으라고...
근데 그때쯤이면 거의 다 맞지 않았을까요
아마도 그럴 듯 키키
미국이 진짜 못 들어오게 했잖아
좀 완화하나 보네
키키 어휴 근데 거기서도 아직 많이 나오고 있지 않아요?
그러니까 키키
들어오는 사람만 맞으면 다인가
키키 그니깐... 어차피 안이 난리일 건데
그러니까 키키 뭐 마스크도 제대로 안 쓰는데
키키 그니깐요 어이가 없네
진짜 세상은 다 어이가 없어
키키 그러니까 진짜 미국도 참 코로나 터지고 보니 선진국인가 싶음
근데 진짜 우리나라가 잘 지키다가 어휴
진짜 우리나라는 또 한다면 하니까
키키 맞아 키키 근데 진짜 요새 또 터지는 거 보면 답답하고
그러니까 다들 답답한가 정말
아니 그렇다고 해도 왜 저녁에 다들 나다니냐구요",일상 대화
